Date_time,Disposition,Site_name,Site_at,Start_NAD83_East,Start_NAD83_North,End_NAD83_East,End_NAD83_North,Dry_site,System_type,Water_source,Length_m,Width_m,Hour,Minute,End_time,Total_survey_time,Habitat_type,Precipitation,Air_temp_150cm_C,Water_tmp_5cm_C,Relative_humidity,Wind_speed,Floating_veg_perc,Floating_species,Submerged_veg_perc,Submerged_species,Emergent_veg_perc,Emergent_species,Perimeter_veg_perc,Perimeter_species,Comments
2022-04-13T12:18:00Z,observed,Double Tank,Canelo,541283,3486809,NA,NA,no,stock tank,runoff,28,10,12,18,1225,7,lentic,none,19.899999999999999,23.8,10,breezy,0,NA,20,Potamogeton,0,NA,0,0,NA
2022-04-13T12:40:00Z,observed,Fish Tank,Canelo,541900,3486098,NA,NA,no,stock tank,runoff,43,31,12,40,1250,10,lentic,none,17.600000000000001,21.8,13.2,breezy,5,algae,80,Potamogeton,5,Eleocharis,5,Eleocharis,NA
2022-04-13T13:30:00Z,observed,Pauline Tank,Canelo,546297,3483265,NA,NA,no,stock tank,runoff,39,17,13,30,1339,9,lentic,none,20.9,22.6,10.7,breezy,0,NA,0,NA,0,NA,0,0,NA
2022-04-13T14:04:00Z,observed,Middle Canyon Tank,Canelo,544742,3483309,NA,NA,no,stock tank,runoff,30,22,14,04,1420,16,lentic,none,24.4,22.1,10.4,NA,0,NA,10,Potamogeton,5,Eleocharis,5,Eleocharis,NA
2022-04-13T16:28:00Z,observed,Woodchopper Tank,San Rafael Valley,542709,3480704,NA,NA,no,stock tank,runoff,50,36,16,28,1642,14,lentic,none,19.7,24.8,6.9,breezy,15,algae,5,Potamogeton,0,NA,5,grasses,"startle distance close (5m), all frogs in water <2m from bank"
2022-04-13T17:13:00Z,observed,Canelo Tank,San Rafael Valley,542155,3483928,NA,NA,no,stock tank,runoff,26,25,17,13,1720,7,lentic,none,18.100000000000001,23.8,6.6,breezy,0,NA,0,NA,0,NA,0,0,NA
2022-04-13T19:30:00Z,observed,"TNC, Upper",Canelo,544870,3492303,544808,3492006,no,stream,spring,325,6,19,30,2000,30,lotic,none,8.6999999999999993,11.9,26.1,still,6,Lemma,6,algae,30,"willow, Scirpus",100,"willow, shrubs, grasses, forbs","chubs, suckers. 2 larvae w/ hind legs near shallow xing of pool 8. 3 more just above in p8."
2022-04-13T20:05:00Z,observed,"TNC,  Lower",Canelo,544870,3492303,545133,3492535,no,stream,spring,350,5,20,05,2027,22,lotic,none,7.6,11.8,29.7,still,0,NA,5,algae,20,"grasses, willow, Scirpus",100,"willow, shubs, grasses, walnut, Scirpus","Chub, crayfish. Leafy vegetation mostly dormant, good visibility"
2022-04-13T20:42:00Z,removed,Jelk's Pond,Canelo,544915,3490707,NA,NA,no,stock tank,spring,75,16,20,42,2110,28,lentic,none,5.8,12.9,23.7,still,10,algae,20,Potamogeton,80,"Typha, Willow",40,"grasses, willow, cottonwood","80mm SVL, larvae 120mm TL no legs"
2022-04-13T21:12:00Z,removed,Jelk's Creek,Canelo,544909,3490721,544985,3490969,no,stream,spring,275,12,21,12,2142,30,lotic,none,5.8,11.7,23.7,still,30,"Lemma, algae",20,algae,80,"Scirpus, willow, Typha, forbs",100,"grasses, willow, shrubs, cottonwood",75-85mm SVL
2022-04-14T12:05:00Z,observed,Japanese Tank,Cobre Ridge BZ,474300,3479539,NA,NA,no,stock tank,runoff,46,32,12,05,1215,10,lentic,none,26.1,23.7,12.9,still,10,algae,30,Potamogeton,0,NA,0,0,NA
2022-04-14T12:28:00Z,observed,Austerlitz Tank,Cobre Ridge BZ,474039,3481065,NA,NA,no,stock tank,runoff,43,17,12,28,1238,10,lentic,none,25.8,22.3,13.4,breezy,5,algae,50,"Potamogeton, algae",0,NA,5,grasses,NA
2022-04-14T12:41:00Z,observed,Dart Tank,Cobre Ridge BZ,474089,3480832,NA,NA,yes,stock tank,runoff,0,0,12,41,1242,1,lentic,none,NA,NA,NA,still,0,NA,0,NA,0,NA,0,0,NA
2022-04-14T12:41:00Z,observed,Agua Cercada Tank,RU1,469595,3482070,NA,NA,no,stock tank,runoff,61,44,12,41,1252,11,lentic,none,25.9,24.1,18,still,0,NA,0,NA,0,NA,0,0,NA
2022-04-14T12:57:00Z,observed,Corner Tank,Cobre Ridge BZ,474252,3482969,NA,NA,no,stock tank,runoff,25,14,12,57,1303,6,lentic,none,27.2,23.8,11.7,still,5,algae,5,algae,0,NA,0,0,NA
2022-04-14T13:12:00Z,observed,Cemetery Tank,Cobre Ridge BZ,472869,3483682,NA,NA,no,stock tank,runoff,71,48,13,12,1323,11,lentic,none,25.6,22.6,13.9,breezy,0,NA,5,Potamogeton,0,NA,1,grasses,NA
2022-04-14T13:50:00Z,observed,Double Tank,Cobre Ridge BZ,470835,3487357,NA,NA,no,stock tank,runoff,14,8,13,50,1355,5,lentic,none,27.1,26.7,12.7,breezy,0,NA,0,NA,0,NA,0,0,NA
2022-04-14T14:06:00Z,observed,Arrastra Tank,Cobre Ridge BZ,471174,3485355,NA,NA,no,stock tank,runoff,48,19,14,06,1418,12,lentic,none,27.5,27.9,15.5,breezy,0,NA,0,NA,0,NA,75,grasses,many turtles on bottom in shallows
2022-04-14T14:43:00Z,observed,Fraguita Tank,Cobre Ridge BZ,469424,3486140,NA,NA,no,stock tank,runoff,28,18,14,43,1455,12,lentic,none,25.7,26.4,14.2,breezy,0,NA,0,NA,0,NA,15,grasses,NA
2022-04-14T15:03:00Z,observed,Side Pocket Tank,Cobre Ridge BZ,469567,3487382,NA,NA,no,stock tank,runoff,23,18,15,03,1510,7,lentic,none,26.6,27.9,14,breezy,95,algae,0,NA,0,NA,0,0,NA
2022-04-14T15:17:00Z,observed,Muleshoe Tank,Cobre Ridge BZ,468805,3488245,NA,NA,yes,stock tank,runoff,0,0,15,17,1518,1,lentic,none,NA,NA,NA,breezy,0,NA,0,NA,0,NA,0,0,NA
2022-04-14T15:47:00Z,observed,Arivaca Tank,Cobre Ridge BZ,465675,3491087,NA,NA,no,stock tank,runoff,99,47,15,47,1705,78,lentic,none,24.3,24.1,12.8,NA,0,NA,0,NA,0,NA,0,0,"All frogs on rocky side. Males SVL: 140mm, 129mm, 114mm. Females 135mm, 126mm, 115mm; eggs yellow, <1mm, fat bodies present. Yellow bullhead catfish"
2022-04-14T17:17:00Z,observed,Chilton Tank,Cobre Ridge BZ,465842,3490337,NA,NA,no,stock tank,runoff,51,36,17,17,1727,10,lentic,none,25.7,25.7,14.8,breezy,0,NA,0,NA,5,grasses,50,grasses,NA
2022-04-14T19:36:00Z,observed,Alamo Tank,RU1,466978,3483241,NA,NA,no,stock tank,runoff,55,19,19,36,1953,17,lentic,none,14.8,20.3,20.8,still,5,algae,0,NA,0,NA,0,0,NA
2022-04-14T20:15:00Z,observed,Jarillas Tank,RU1,467081,3484459,NA,NA,no,stock tank,runoff,96,62,20,15,2029,14,lentic,none,12.8,20,29.1,still,5,algae,50,Potamogeton,0,NA,0,0,NA
2022-04-14T21:15:00Z,observed,Holding tank,RU1,465835,3487204,NA,NA,no,stock tank,runoff,91,72,21,15,2231,46,lentic,none,9.3000000000000007,18.8,24.7,still,0,NA,0,NA,5,"willow, Scirpus",80,"grasses, Eleocharis, Scirpus",Many bluegill jumping
2022-04-15T10:57:00Z,observed,Mojonera Tank,RU1,469588,3481104,NA,NA,no,stock tank,runoff,42,24,10,57,1150,53,lentic,none,24.1,18.600000000000001,12.3,breezy,5,algae,15,Potamogeton,5,shrubs,70,"shrubs, forbs, grasses","Lower pool: 4 larvae in 3 dip net passes. Upper: 10 larvae in 1 dip net + 1 observed, 60-80mm TL. 3 adults in lower pool, 3 in middle pool, 75-90mm SVL"
2022-04-15T12:41:00Z,observed,Agua Cercada Tank,RU1,469595,3482070,NA,NA,no,stock tank,runoff,61,44,12,41,1252,11,lentic,none,25.9,24.1,18,breezy,0,NA,0,NA,0,NA,0,0,NA
