Site_name,2022,2023,2024
"""Worry 10""",1,0,0
"""Worry 11""",1,0,0
"""Worry 12""",1,0,0
"""Worry 13""",1,0,0
"""Worry 5""",1,0,0
"""Worry 8""",1,0,0
"""Worry 9""",1,0,0
Agua Cercada Tank,5,6,5
Alamito Tank,2,5,5
Alamo Tank,5,3,3
Antelope Tank,0,2,1
Arivaca Lake,0,0,1
Arivaca Tank,18,7,23
Arrastra Tank,6,4,5
Austerlitz Mine,1,1,0
Austerlitz Tank,9,6,7
BLM Slattum,1,0,0
BZ 1,2,0,0
BZ 10,5,3,5
BZ 11,3,2,4
BZ 2,4,1,4
Babacomari House Pond,0,1,0
Bald Hill Tank,0,2,1
Bathtub Tank,0,1,0
Beck Tank,4,2,4
Becker's Folly Tank,0,2,3
Big Casa Blanca Canyon,0,0,1
Bill Woods Tank,0,1,0
Bill's W.P,6,5,6
Border Tank,8,19,14
Bull Tank,1,1,4
Caballo Tank,2,0,2
Canelo Springs Ranch,0,2,0
"Canelo Springs Ranch, Pond 1",0,1,1
"Canelo Springs Ranch, Pond 2",0,1,1
"Canelo Springs Ranch, Pond 3",0,1,1
"Canelo Springs Ranch, Pond 4",0,1,1
"Canelo Springs Ranch, stream section",0,1,1
Canelo Tank,9,14,7
Canyon Tank,0,1,0
Catalina Regional Park Pond,0,0,1
Cave Creek Ranch,2,0,0
Cemetery Tank,19,10,22
Chilton Tank,4,4,15
Chiricahua Desert Museum,2,0,0
Chulo Tank,3,7,6
Cinco Ponds,1,0,0
Cinco Well W.P.,7,7,4
Cloud Tank,2,1,2
Clyne Pond,2,3,5
Clyne Spring,1,1,1
Coches Tank,3,3,6
Coches Well,1,1,1
Coldspring,3,3,6
Corner Tank,5,4,5
Cottonwood W.P.,5,5,6
Cow Bones Tank,0,1,0
Coyote Tank,1,0,0
Crappie Tank,0,1,0
Crescent Wetlands,3,4,5
Dart Tank,3,0,4
Dead Cow Tank,5,3,6
Double Reed Tank,0,1,0
Double Tank,11,5,6
Double Tanks,1,0,5
Dove Tank,0,1,0
Drainage Pond,0,1,0
Dry Jack Tank,0,1,0
Dry Tank,2,0,0
Dynamite Tank,0,1,0
Eagle Lake,0,0,1
Eddie #2 Tank,0,1,0
Egret Wetlands,3,4,5
Empire Gulch Spring,5,4,5
Empire Well W.P.,5,6,6
Encinas Tank,1,1,1
False Tank,2,2,5
Finley Tank,0,5,2
Fish Tank,9,5,7
Fraguita Tank,5,4,6
Fritz Tank,0,2,3
Frog Tank,3,5,8
Gaucho W.P.,5,4,6
Goat Well,1,0,1
Harkey Tank,0,0,1
Hay T Tank,0,0,1
Headwaters,2,3,5
Heart Wetlands,3,4,5
Heifer Tank,0,1,5
High Tk,1,0,0
Hog Tank,0,1,0
Holding tank,5,2,7
Home Tank,4,2,4
Honnas Tank,0,0,3
Horse Tank,3,2,5
Hospital Tank,6,3,5
Jack Daniels Dam,3,5,8
Jack Tank,0,1,0
Japanese Tank,9,6,6
Jarillas Tank,5,4,8
Jelk's Creek,46,21,11
Jelk's Pond,48,20,11
Jim Davis Pond,1,0,0
Johnson Tank,2,1,4
Juan Tank,0,1,6
Karen's Tank,5,3,5
La Siesta Campgrounds,2,0,0
Leslie Tank,0,1,0
Little Jack Daniels Tank,0,1,0
Little Outfit Tank,0,11,12
Little Tank,2,3,4
Loading Tank,0,1,3
Lower Empire Gulch,4,3,9
Lower ODonell Creek,0,7,1
