"Date","surveyors","taxon","Species","No_Obs","Adult","Adults_removed","Juv","Juv_removed","Larvae","Larvae_removed","Egg_mass","Disposition","County","Site_name","Site_at","Start_NAD83_East","Start_NAD83_North","End_NAD83_East","End_NAD83_North","Dry_site","System_type","Water_source","Length_m","Width_m","Start_time","End_time","Total_survey_time","Habitat_type","Precipitation","Air_temp_150cm_C","Water_tmp_5cm_C","Relative_humidity","Wind_speed","Floating_veg_perc","Floating_species","Submerged_veg_perc","Submerged_species","Emergent_veg_perc","Emergent_species","Perimeter_veg_perc","Perimeter_species","Grazing_activity","Comments","Final_Start_NAD83_East","Final_Start_NAD83_North"
2022-05-20,"CLP","FROG","RACA",13,9,0,4,0,0,0,0,"observed","Pima","La Siesta Campgrounds","Arivaca",471006,3494237,NA,NA,"no","ponds","well","16/12","14/9","1350","1422",32,"lentic","none","29.5","21.6","23.1","windy","10","lilly pad, algae","90","ornamental aquatic veg","10","Typha, lily pad","100","grasses,willows, Typha","fenced","Upper pond totally choked with Typha. Placed audio moth on willow on W bank of middle pond.",NA,NA
2022-09-14,"JML, CLP","FROG","RACA",15,6,0,9,0,0,0,0,"observed","Pima","La Siesta Campgrounds","Arivaca",471006,3494237,NA,NA,"no","ponds","well","24","17","1139","1149",10,"lentic","none","27.6","21.7","40.4","breezy","70","ornamental plants, algae","80","elodea","20","Typha, ornamental plants","100","grasses,willows, Typha","fenced","Collected audio moth. Adults 120-150mm SVL, juvs 40-90mm SVL.",NA,NA
2022-07-21,"JML, CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","""Worry 10""","Babacomari W Pasture",542200,3499271,NA,NA,"no","stock tank","runoff","62","20","1207","1212",5,"lotic","none","34.299999999999997","27.8","40.4","still","100","Lemma","0","0","0","0","0","0","sign","Pronghorn herd at tank prior to survey",NA,NA
2022-07-14,"JML, CLP","FROG","SPMU",1000,0,0,0,0,1000,0,0,"observed","Santa Cruz","""Worry 11""","Babacomari W Pasture",542200,3499271,NA,NA,"no","stock tank","runoff","32","25","1138","1148",10,"lentic","none","34.200000000000003","29.1","34.700000000000003","breezy","5","Lemma","0","0","1","grass","50","grass","sign","15-20mm TL",NA,NA
2022-07-14,"JML, CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","""Worry 12""","Babacomari W Pasture",543571,3499470,NA,NA,"yes","stock tank","runoff","0","0","1203","1204",1,"lentic","none","n/r","n/r","n/r","breezy","0","0","0","0","0","0","0","0","sign","Dry",NA,NA
2022-07-14,"JML, CLP","FROG","SPMU",50,0,0,0,0,50,0,0,"observed","Santa Cruz","""Worry 13""","Babacomari W Pasture",544114,3501729,NA,NA,"no","stock tank","runoff","50","30","1218","1250",32,"lentic","none","34.9","29.3","35","breezy","0","0","0","0","0","0","0","0","sign","20-50mm TL. Breeching. Dipnetted to comfirm species.",NA,NA
2022-07-21,"JML, CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","""Worry 5""","Babacomari W Pasture",539096,3501968,NA,NA,"yes","stock tank","runoff","0","0","1302","1303",1,"lotic","none","n/r","n/r","n/r","still","0","0","0","0","0","0","0","0","sign","DRY",NA,NA
2022-07-14,"JML, CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","""Worry 8""","Babacomari W Pasture",541105,3499866,NA,NA,"no","stock tank","runoff","33","27","1105","1111",6,"lentic","none","31.6","28.4","38.1","breezy","0","0","0","0","0","0","0","0","sign",NA,NA,NA
2022-07-14,"JML, CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","""Worry 9""","Babacomari W Pasture",541820,3500909,NA,NA,"no","stock tank","runoff","28","27","1118","1123",5,"lentic","none","34.299999999999997","32.9","34.1","breezy","0","0","0","0","0","0","0","0","sign","Only snails",NA,NA
2022-10-27,"JML, CLP","FROG","RACH",1,1,0,0,0,0,0,0,"observed","Santa Cruz","Coyote Tank","Canelo",534810,3493288,NA,NA,"no","stock tank","runoff","25","22","1257","1310",13,"lentic","none","18.7","16.899999999999999","38.1","breezy","20","Lemma","5","Potamogeton","0","0","20","grasses","none","75mm SVL",NA,NA
